raceId,driverId,constructorId,statusId,circuitId,date,driverRef,number,code,constructorRef,circuitRef,lap,position_x,time,position_y,status,position
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,18,2,0 days 00:01:32.975000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,19,2,0 days 00:01:33.109000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,20,2,0 days 00:01:32.630000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,21,2,0 days 00:01:32.930000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,22,2,0 days 00:01:32.716000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,23,1,0 days 00:01:47.104000,6,Finished,1
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,24,1,0 days 00:01:32.455000,6,Finished,1
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,25,1,0 days 00:01:32.453000,6,Finished,1
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,26,1,0 days 00:01:32.656000,6,Finished,1
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,27,2,0 days 00:01:37.602000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,28,4,0 days 00:01:55.479000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,29,4,0 days 00:02:22.836000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,30,4,0 days 00:02:05.882000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,31,4,0 days 00:01:42.757000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,32,4,0 days 00:02:30.441000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,33,4,0 days 00:01:33.248000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,34,4,0 days 00:01:32.143000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,35,4,0 days 00:01:31.372000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,36,4,0 days 00:01:32.202000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,37,4,0 days 00:01:32.035000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,38,4,0 days 00:01:31.673000,6,Finished,4
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,39,5,0 days 00:01:32.617000,6,Finished,5
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,40,11,0 days 00:01:40.795000,6,Finished,11
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,41,19,0 days 00:01:53.723000,6,Finished,19
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,42,19,0 days 00:01:30.643000,6,Finished,19
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,43,19,0 days 00:01:30.634000,6,Finished,19
